"","parent","node","branch.length","label"
"1",199,1,11.894902,"Allenopithecus_nigroviridis"
"2",203,2,2.018943,"Cercopithecus_ascanius"
"3",204,3,7.343157,"Cercopithecus_campbelli_lowei"
"4",203,4,2.018944,"Cercopithecus_cephus"
"5",204,5,7.343158,"Cercopithecus_hamlyni."
"6",208,6,2.759983,"Cercopithecus_lhoesti"
"7",208,7,2.759983,"Cercopithecus_preussi"
"8",207,8,4.08365,"Cercopithecus_solatus"
"9",211,9,1.61758,"Chlorocebus_aethiops"
"10",212,10,0.932476,"Chlorocebus_pygerythrus"
"11",212,11,0.932476,"Chlorocebus_pygerythrus_cynosurus"
"12",209,12,3.568358,"Chlorocebus_sabaeus"
"13",211,13,1.61758,"Chlorocebus_tantalus"
"14",206,14,7.9398,"Erythrocebus_patas"
"15",200,15,11.493113,"Miopithecus_talapoin"
"16",304,16,16.783441,"Allocebus_trichotis"
"17",343,17,1.222264,"Avahi_cleesei"
"18",341,18,6.25278,"Avahi_laniger"
"19",343,19,1.222264,"Avahi_occidentalis"
"20",342,20,1.421293,"Avahi_unicolor"
"21",322,21,7.65608,"Cheirogaleus_crossleyi"
"22",322,22,7.65608,"Cheirogaleus_major"
"23",321,23,11.388139,"Cheirogaleus_medius"
"24",299,24,51.124065,"Daubentonia_madagascariensis"
"25",351,25,5.822228,"Eulemur_coronatus"
"26",357,26,0.264109,"Eulemur_fulvus_albifrons"
"27",358,27,0.852621,"Eulemur_fulvus_albocollaris"
"28",358,28,0.852621,"Eulemur_fulvus_collaris"
"29",356,29,0.762196,"Eulemur_fulvus_fulvus"
"30",359,30,2.690059,"Eulemur_fulvus_rufus"
"31",357,31,0.264109,"Eulemur_fulvus_sanfordi"
"32",360,32,2.011579,"Eulemur_macaco_flavifrons"
"33",360,33,2.011579,"Eulemur_macaco_macaco"
"34",359,34,2.690059,"Eulemur_mongoz"
"35",354,35,3.792177,"Eulemur_rubriventer"
"36",363,36,5.707876,"Hapalemur_aureus"
"37",366,37,0.208206,"Hapalemur_griseus"
"38",364,38,1.228412,"Hapalemur_griseus_alaotrensis"
"39",366,39,0.208206,"Hapalemur_griseus_meridionalis"
"40",365,40,0.783599,"Hapalemur_griseus_occidentalis"
"41",362,41,8.200838,"Hapalemur_simus"
"42",339,42,20.909032,"Indri_indri"
"43",361,43,9.280517,"Lemur_catta"
"44",329,44,2.628203,"Lepilemur_aeeclis"
"45",334,45,2.091144,"Lepilemur_ankaranensis"
"46",334,46,2.091144,"Lepilemur_dorsalis"
"47",329,47,2.628203,"Lepilemur_edwardsi"
"48",330,48,2.177039,"Lepilemur_hubbardorum"
"49",326,49,6.683736,"Lepilemur_leucopus"
"50",336,50,1.664249,"Lepilemur_manasamody"
"51",335,51,4.586281,"Lepilemur_microdon"
"52",337,52,0.366089,"Lepilemur_mustelinus"
"53",336,53,1.664249,"Lepilemur_otto"
"54",328,54,3.807468,"Lepilemur_randrianasoli"
"55",330,55,2.177039,"Lepilemur_ruficaudatus"
"56",333,56,2.492143,"Lepilemur_sahamalazensis"
"57",337,57,0.366089,"Lepilemur_seali"
"58",332,58,4.926162,"Lepilemur_septentrionalis"
"59",308,59,4.062493,"Microcebus_berthae"
"60",316,60,0.695742,"Microcebus_bongolavensis"
"61",315,61,2.32212,"Microcebus_danfossi"
"62",309,62,3.084806,"Microcebus_griseorufus"
"63",312,63,4.415952,"Microcebus_jollyae"
"64",306,64,5.983025,"Microcebus_lehilahytsara"
"65",314,65,3.305425,"Microcebus_macarthurii"
"66",319,66,3.068758,"Microcebus_mamiratra"
"67",317,67,4.008194,"Microcebus_mittermeieri"
"68",309,68,3.084806,"Microcebus_murinus"
